="Summary Statistics by Treatment Cohort"
="",="(1)",="",=""
="",="",="",=""
="",="mean",="sd",="count"
="Never Treated",="",="",=""
="log_emp",="5.630",="1.500",="1545"
="log_pop",="3.183",="1.286",="1545"
="Cohort 2004",="",="",=""
="log_emp",="6.092",="1.497",="100"
="log_pop",="3.476",="1.282",="100"
="Cohort 2006",="",="",=""
="log_emp",="6.544",="1.277",="200"
="log_pop",="3.754",="1.156",="200"
="Cohort 2007",="",="",=""
="log_emp",="5.824",="1.517",="655"
="log_pop",="3.459",="1.261",="655"
="Total",="",="",=""
="log_emp",="5.773",="1.509",="2500"
="log_pop",="3.313",="1.281",="2500"
